               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089446,            0.046446,                   0,            0.007542,             0.27169,            0.016217,           0.0047107,            0.083762,            0.035435,                   0,            0.070857,           0.0032381,           0.0032381
                   1,            0.070683,            0.054629,                   0,             0.28559,             0.33035,             0.21035,            0.057552,            0.071959,            0.032673,                   0,            0.040851,           0.0065649,           0.0065649
                   2,            0.074829,            0.042336,                   0,             0.18753,             0.47247,             0.14114,             0.05391,            0.081489,            0.023968,                   0,            0.010838,           0.0098852,           0.0098852
                   3,            0.074884,            0.035881,                   0,             0.37719,              0.3726,             0.34604,            0.084326,            0.077507,            0.024501,                   0,           0.0099703,           0.0099703,           0.0099703
                   4,            0.063232,            0.038414,                   0,             0.39533,             0.37132,             0.34035,             0.12201,            0.067039,            0.025418,                   0,           0.0099703,           0.0099703,           0.0099703
                   5,            0.061682,            0.031909,                   0,             0.57544,             0.44948,             0.50927,             0.25369,            0.068892,            0.023767,                   0,           0.0099604,           0.0099604,           0.0099604
                   6,            0.062679,            0.032952,                   0,             0.56303,             0.60051,             0.63622,             0.32643,             0.05785,            0.020916,                   0,           0.0099505,           0.0099505,           0.0099505
                   7,            0.057735,            0.031779,                   0,             0.56921,             0.61583,             0.66572,              0.3766,            0.051651,            0.020234,                   0,           0.0099406,           0.0099406,           0.0099406
                   8,            0.050731,             0.03082,                   0,             0.57556,             0.49137,             0.58131,             0.23372,            0.053564,            0.020184,                   0,           0.0099307,           0.0099307,           0.0099307
                   9,            0.052438,            0.030435,                   0,             0.79953,             0.71494,             0.77741,             0.34798,            0.048198,            0.020606,                   0,           0.0099208,           0.0099208,           0.0099208
                  10,            0.047498,            0.029629,                   0,             0.69667,              0.5096,             0.55227,             0.28378,             0.05212,            0.025708,                   0,           0.0099109,           0.0099109,           0.0099109
                  11,            0.049525,            0.029481,                   0,             0.79411,              0.8169,             0.86007,             0.35135,            0.045109,            0.018195,                   0,            0.009901,            0.009901,            0.009901
                  12,            0.048836,            0.028382,                   0,             0.80258,             0.65941,             0.69109,             0.36068,            0.045482,             0.02596,                   0,           0.0098911,           0.0098911,           0.0098911
                  13,            0.044132,            0.028982,                   0,             0.82965,             0.64149,             0.73825,             0.31128,            0.042277,            0.023074,                   0,           0.0098812,           0.0098812,           0.0098812
                  14,             0.04315,            0.029114,                   0,              0.8856,             0.86428,             0.91434,               0.482,            0.038134,             0.01694,                   0,           0.0098713,           0.0098713,           0.0098713
                  15,            0.040266,            0.027809,                   0,             0.83443,             0.41357,             0.46813,             0.27569,            0.052145,            0.033739,                   0,           0.0098614,           0.0098614,           0.0098614
                  16,            0.037362,            0.029723,                   0,             0.75869,             0.45839,             0.47962,              0.2833,            0.064028,            0.026356,                   0,           0.0098515,           0.0098515,           0.0098515
                  17,            0.040848,             0.02632,                   0,             0.60097,             0.21791,             0.23659,              0.1314,            0.081513,            0.033113,                   0,           0.0098416,           0.0098416,           0.0098416
                  18,            0.040551,            0.029281,                   0,             0.91701,             0.89117,             0.95238,             0.58246,             0.03269,             0.01604,                   0,           0.0098317,           0.0098317,           0.0098317
                  19,            0.039394,            0.027235,                   0,             0.85172,              0.6863,              0.7509,             0.43945,            0.041474,            0.022667,                   0,           0.0098218,           0.0098218,           0.0098218
                  20,             0.03845,            0.027525,                   0,             0.88145,             0.82202,             0.90346,             0.54584,            0.037741,             0.01729,                   0,           0.0098119,           0.0098119,           0.0098119
                  21,            0.039124,            0.025113,                   0,             0.70219,             0.35021,             0.38768,              0.2077,            0.056286,            0.034205,                   0,            0.009802,            0.009802,            0.009802
                  22,              0.0397,            0.028525,                   0,             0.88153,             0.59667,             0.68181,             0.39504,            0.048491,            0.023423,                   0,           0.0097921,           0.0097921,           0.0097921
                  23,            0.039253,            0.026729,                   0,             0.93837,             0.89672,             0.95172,             0.60513,             0.03263,            0.015615,                   0,           0.0097822,           0.0097822,           0.0097822
                  24,            0.039539,            0.027368,                   0,             0.92393,             0.87324,              0.9437,             0.55604,            0.036331,            0.015868,                   0,           0.0097723,           0.0097723,           0.0097723
                  25,            0.037264,            0.025291,                   0,             0.95386,             0.91421,             0.97476,             0.65034,             0.02931,            0.015355,                   0,           0.0097624,           0.0097624,           0.0097624
                  26,            0.033714,            0.026828,                   0,              0.9199,             0.84635,             0.89742,             0.54647,            0.030875,            0.017983,                   0,           0.0097525,           0.0097525,           0.0097525
                  27,             0.03577,            0.025729,                   0,             0.79924,             0.48143,             0.53744,             0.32453,            0.046581,            0.029864,                   0,           0.0097426,           0.0097426,           0.0097426
                  28,            0.035096,            0.025799,                   0,             0.94678,             0.84635,             0.92512,             0.60524,             0.03128,            0.017149,                   0,           0.0097327,           0.0097327,           0.0097327
                  29,            0.034707,            0.026429,                   0,             0.92405,             0.76184,             0.84432,             0.55642,            0.034449,            0.019788,                   0,           0.0097228,           0.0097228,           0.0097228
                  30,            0.034625,            0.026477,                   0,             0.92612,              0.9411,             0.97542,             0.54722,            0.028591,            0.014499,                   0,           0.0097129,           0.0097129,           0.0097129
                  31,            0.034116,            0.025714,                   0,             0.94212,             0.91694,             0.95938,             0.62129,            0.028059,            0.015204,                   0,            0.009703,            0.009703,            0.009703
                  32,            0.034023,            0.026825,                   0,             0.92332,             0.70921,             0.78258,             0.49916,            0.036311,            0.023602,                   0,           0.0096931,           0.0096931,           0.0096931
                  33,             0.03403,            0.025447,                   0,             0.92935,             0.80154,             0.86518,             0.59831,            0.033298,            0.017986,                   0,           0.0096832,           0.0096832,           0.0096832
                  34,            0.035143,            0.023724,                   0,             0.94828,              0.8694,             0.93401,             0.61808,            0.028559,             0.01707,                   0,           0.0096733,           0.0096733,           0.0096733
                  35,            0.033453,            0.025797,                   0,              0.9543,             0.88239,             0.93824,             0.61284,            0.030046,            0.016122,                   0,           0.0096634,           0.0096634,           0.0096634
                  36,            0.034871,            0.027118,                   0,              0.9467,             0.95391,             0.97517,             0.67253,            0.027962,            0.014589,                   0,           0.0096535,           0.0096535,           0.0096535
                  37,             0.03362,            0.024849,                   0,             0.90807,             0.87324,              0.9345,             0.57445,            0.032171,            0.016634,                   0,           0.0096436,           0.0096436,           0.0096436
                  38,             0.03513,            0.024708,                   0,              0.9286,             0.93086,             0.96746,             0.55937,            0.030844,            0.014438,                   0,           0.0096337,           0.0096337,           0.0096337
                  39,            0.034868,            0.024431,                   0,             0.89689,             0.77209,             0.86845,             0.57391,            0.031805,            0.019507,                   0,           0.0096238,           0.0096238,           0.0096238
                  40,            0.033701,            0.025209,                   0,             0.92711,             0.79898,             0.89062,             0.56028,            0.029912,            0.018635,                   0,           0.0096139,           0.0096139,           0.0096139
                  41,            0.033401,            0.024616,                   0,             0.93695,              0.9514,             0.97942,             0.68304,            0.028007,            0.014139,                   0,            0.009604,            0.009604,            0.009604
                  42,            0.030362,            0.024573,                   0,             0.91921,              0.9469,             0.97916,             0.71222,            0.027206,            0.013823,                   0,           0.0095941,           0.0095941,           0.0095941
                  43,            0.031454,            0.024516,                   0,             0.95995,             0.95775,             0.98075,             0.66753,            0.024517,            0.014503,                   0,           0.0095842,           0.0095842,           0.0095842
                  44,             0.03065,            0.025324,                   0,             0.92455,             0.86292,             0.92436,              0.6353,            0.027586,            0.017597,                   0,           0.0095743,           0.0095743,           0.0095743
                  45,            0.030461,            0.025363,                   0,             0.96038,             0.96209,             0.98775,             0.69814,            0.025447,             0.01406,                   0,           0.0095644,           0.0095644,           0.0095644
                  46,             0.03226,            0.024165,                   0,             0.92939,             0.76184,             0.84256,             0.54629,            0.034109,            0.020329,                   0,           0.0095545,           0.0095545,           0.0095545
                  47,            0.030475,            0.023703,                   0,              0.9095,              0.7463,             0.81846,             0.47054,            0.033821,            0.020594,                   0,           0.0095446,           0.0095446,           0.0095446
                  48,            0.030307,            0.025793,                   0,             0.92371,             0.88364,             0.94248,             0.67023,            0.025033,            0.015358,                   0,           0.0095347,           0.0095347,           0.0095347
                  49,            0.031557,            0.025319,                   0,             0.92012,              0.8407,             0.91284,             0.60362,            0.031855,            0.017439,                   0,           0.0095248,           0.0095248,           0.0095248
                  50,            0.031237,            0.025415,                   0,             0.96037,             0.96201,             0.98419,             0.70735,            0.025694,            0.013331,                   0,           0.0095149,           0.0095149,           0.0095149
                  51,            0.031407,            0.024086,                   0,             0.93621,             0.93953,             0.97157,             0.58905,            0.027128,            0.014397,                   0,            0.009505,            0.009505,            0.009505
                  52,            0.031375,            0.023294,                   0,             0.95148,             0.81562,             0.89676,             0.59776,            0.029666,            0.018772,                   0,           0.0094951,           0.0094951,           0.0094951
                  53,            0.030662,            0.024204,                   0,             0.92666,             0.63092,             0.72213,             0.49282,            0.036048,            0.024135,                   0,           0.0094852,           0.0094852,           0.0094852
                  54,            0.030932,            0.023558,                   0,             0.94777,              0.8758,             0.93436,             0.68521,            0.026999,            0.016114,                   0,           0.0094753,           0.0094753,           0.0094753
                  55,            0.029706,            0.023504,                   0,             0.93621,             0.82202,             0.88744,             0.63063,            0.030964,              0.0185,                   0,           0.0094654,           0.0094654,           0.0094654
                  56,            0.029138,            0.023764,                   0,             0.96668,             0.98592,             0.99127,             0.74345,             0.02239,            0.012921,                   0,           0.0094555,           0.0094555,           0.0094555
                  57,            0.029019,            0.022783,                   0,             0.93035,             0.66704,             0.75199,             0.53212,            0.034876,            0.023455,                   0,           0.0094456,           0.0094456,           0.0094456
                  58,            0.027496,            0.021832,                   0,             0.95929,             0.87324,             0.91899,             0.62333,            0.026307,            0.017017,                   0,           0.0094357,           0.0094357,           0.0094357
                  59,             0.03041,            0.024397,                   0,             0.90117,             0.51985,             0.57556,             0.39551,            0.045779,            0.031066,                   0,           0.0094258,           0.0094258,           0.0094258
                  60,            0.030118,             0.02324,                   0,             0.93993,             0.86156,             0.92972,              0.6614,            0.024993,            0.016769,                   0,           0.0094159,           0.0094159,           0.0094159
                  61,            0.029069,            0.022049,                   0,             0.91605,             0.72983,               0.777,             0.50582,            0.031345,            0.023092,                   0,            0.009406,            0.009406,            0.009406
                  62,            0.029265,            0.022605,                   0,             0.84926,              0.7935,             0.87445,             0.55339,            0.032554,            0.018789,                   0,           0.0093961,           0.0093961,           0.0093961
                  63,            0.029528,            0.023882,                   0,             0.90532,             0.79641,             0.86203,             0.58814,            0.030199,            0.019368,                   0,           0.0093862,           0.0093862,           0.0093862
                  64,            0.026426,            0.023648,                   0,             0.94553,             0.91293,             0.95583,             0.66658,            0.026188,            0.014917,                   0,           0.0093763,           0.0093763,           0.0093763
                  65,            0.029193,            0.023863,                   0,             0.92007,             0.64849,             0.75827,             0.49191,            0.033455,              0.0239,                   0,           0.0093664,           0.0093664,           0.0093664
                  66,             0.02898,            0.023461,                   0,             0.95831,             0.89373,             0.93849,             0.65334,            0.028244,            0.017066,                   0,           0.0093565,           0.0093565,           0.0093565
                  67,             0.03022,            0.023278,                   0,             0.90839,              0.7491,             0.81456,               0.555,            0.036374,            0.020437,                   0,           0.0093466,           0.0093466,           0.0093466
                  68,             0.02974,            0.023615,                   0,             0.97026,             0.94622,             0.97339,             0.72128,            0.022693,            0.013551,                   0,           0.0093367,           0.0093367,           0.0093367
                  69,            0.027366,            0.022616,                   0,             0.74563,              0.3603,             0.40284,             0.25284,            0.064429,            0.034306,                   0,           0.0093268,           0.0093268,           0.0093268
                  70,            0.027932,              0.0242,                   0,             0.96567,             0.91165,             0.95462,             0.69651,            0.025462,            0.014384,                   0,           0.0093169,           0.0093169,           0.0093169
                  71,            0.026846,            0.022935,                   0,             0.96525,             0.96014,             0.98422,             0.71427,            0.023129,            0.013012,                   0,            0.009307,            0.009307,            0.009307
                  72,             0.02898,            0.021709,                   0,             0.95892,             0.89373,             0.94467,             0.68769,            0.024552,             0.01555,                   0,           0.0092971,           0.0092971,           0.0092971
                  73,             0.02891,            0.023943,                   0,             0.88681,             0.55172,             0.62256,             0.40997,            0.045933,            0.027475,                   0,           0.0092872,           0.0092872,           0.0092872
                  74,            0.027218,            0.022985,                   0,              0.9371,             0.86428,             0.89608,             0.64063,            0.029194,            0.017278,                   0,           0.0092773,           0.0092773,           0.0092773
                  75,             0.02776,            0.023025,                   0,              0.9466,             0.95321,              0.9772,             0.70553,            0.025322,            0.014253,                   0,           0.0092674,           0.0092674,           0.0092674
                  76,            0.029375,            0.023164,                   0,             0.95157,             0.86684,             0.92343,             0.66233,            0.027645,             0.01661,                   0,           0.0092575,           0.0092575,           0.0092575
                  77,            0.027557,            0.022645,                   0,             0.92399,             0.76267,             0.82481,             0.59171,            0.033247,             0.02228,                   0,           0.0092476,           0.0092476,           0.0092476
